PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25901548","Thermal Blanket to Improve Thermoregulation in Preterm Infants: A Randomized Controlled Trial","Hsu KH, Chiang MC, Lin SW, Lin JJ, Wang YC, Lien R.","Pediatr Crit Care Med. 2015 Sep;16(7):637-43. doi: 10.1097/PCC.0000000000000447.","Hsu KH","Pediatr Crit Care Med","2015","2015/04/23","","","10.1097/PCC.0000000000000447"
"27915200","Effects of Prophylactic Indomethacin on Vasopressor-Dependent Hypotension in Extremely Preterm Infants","Liebowitz M, Koo J, Wickremasinghe A, Allen IE, Clyman RI.","J Pediatr. 2017 Mar;182:21-27.e2. doi: 10.1016/j.jpeds.2016.11.008. Epub 2016 Dec 1.","Liebowitz M","J Pediatr","2017","2016/12/05","PMC5328836","NIHMS833734","10.1016/j.jpeds.2016.11.008"
"22962322","The impact of intraoperative vasopressin infusion in complex neonatal cardiac surgery","Nishibe S, Tsujita M.","Interact Cardiovasc Thorac Surg. 2012 Dec;15(6):966-72. doi: 10.1093/icvts/ivs396. Epub 2012 Sep 7.","Nishibe S","Interact Cardiovasc Thorac Surg","2012","2012/09/11","PMC3501306","","10.1093/icvts/ivs396"
"28428252","Low-frequency blood pressure oscillations and inotrope treatment failure in premature infants","Vesoulis ZA, Hao J, McPherson C, El Ters NM, Mathur AM.","J Appl Physiol (1985). 2017 Jul 1;123(1):55-61. doi: 10.1152/japplphysiol.00205.2017. Epub 2017 Apr 20.","Vesoulis ZA","J Appl Physiol (1985)","2017","2017/04/22","PMC6157481","","10.1152/japplphysiol.00205.2017"
"28701597","Randomized comparative study of intravenous infusion of three different fixed doses of milrinone in pediatric patients with pulmonary hypertension undergoing open heart surgery","Barnwal NK, Umbarkar SR, Sarkar MS, Dias RJ.","Ann Card Anaesth. 2017 Jul-Sep;20(3):318-322. doi: 10.4103/aca.ACA_231_16.","Barnwal NK","Ann Card Anaesth","2017","2017/07/14","PMC5535573","","10.4103/aca.ACA_231_16"
"29205669","Prospective analysis of serious cardiorespiratory events in children during ophthalmic artery chemotherapy for retinoblastoma under a deep standardized anesthesia","Nghe MC, Godier A, Shaffii A, Leblanc I, Picard H, Blanc R, Lumbroso-Le Rouic L, Devys JM.","Paediatr Anaesth. 2018 Feb;28(2):120-126. doi: 10.1111/pan.13294. Epub 2017 Dec 5.","Nghe MC","Paediatr Anaesth","2018","2017/12/06","","","10.1111/pan.13294"
"12610672","Sublingual nitroglycerine as a tocolytic in external cephalic version: a comparative study","Bujold E, Sergerie M, Masse A, Verschelden G, Bédard MJ, Dubé J.","J Obstet Gynaecol Can. 2003 Mar;25(3):203-7. doi: 10.1016/s1701-2163(16)30107-4.","Bujold E","J Obstet Gynaecol Can","2003","2003/03/01","","","10.1016/s1701-2163(16)30107-4"
"25092616","Effect of corticosteroids on arginine vasopressin after pediatric cardiac surgery","Mastropietro CW, Miletic K, Chen H, Rossi NF.","J Crit Care. 2014 Dec;29(6):982-6. doi: 10.1016/j.jcrc.2014.07.007. Epub 2014 Jul 11.","Mastropietro CW","J Crit Care","2014","2014/08/06","","","10.1016/j.jcrc.2014.07.007"
"15930210","Cardiovascular support for low birth weight infants and cerebral hemodynamics: a randomized, blinded, clinical trial","Pellicer A, Valverde E, Elorza MD, Madero R, Gayá F, Quero J, Cabañas F.","Pediatrics. 2005 Jun;115(6):1501-12. doi: 10.1542/peds.2004-1396.","Pellicer A","Pediatrics","2005","2005/06/03","","","10.1542/peds.2004-1396"
"3096394","Drugs and acute renal insufficiency in the neonate","Gouyon JB, Guignard JP.","Biol Neonate. 1986;50(4):177-81. doi: 10.1159/000242597.","Gouyon JB","Biol Neonate","1986","1986/01/01","","","10.1159/000242597"
"28302697","Abstention or intervention for isolated hypotension in the first 3 days of life in extremely preterm infants: association with short-term outcomes in the EPIPAGE 2 cohort study","Durrmeyer X, Marchand-Martin L, Porcher R, Gascoin G, Roze JC, Storme L, Favrais G, Ancel PY, Cambonie G; Hemodynamic EPIPAGE 2 Study Group.","Arch Dis Child Fetal Neonatal Ed. 2017 Nov;102(6):490-496. doi: 10.1136/archdischild-2016-312104. Epub 2017 Mar 16.","Durrmeyer X","Arch Dis Child Fetal Neonatal Ed","2017","2017/03/18","","","10.1136/archdischild-2016-312104"
"17253493","Corticosteroids for treating hypotension in preterm infants","Subhedar NV, Duffy K, Ibrahim H.","Cochrane Database Syst Rev. 2007 Jan 24;(1):CD003662. doi: 10.1002/14651858.CD003662.pub3.","Subhedar NV","Cochrane Database Syst Rev","2007","2007/01/27","","","10.1002/14651858.CD003662.pub3"
"27984316","Venoarterial Extracorporeal Life Support for Neonatal Respiratory Failure: Indications and Impact on Mortality","Bamat NA, Tharakan SJ, Connelly JT, Hedrick HL, Lorch SA, Rintoul NE, Williams SB, Dysart KC.","ASAIO J. 2017 Jul/Aug;63(4):490-495. doi: 10.1097/MAT.0000000000000495.","Bamat NA","ASAIO J","2017","2016/12/17","PMC5468503","NIHMS833937","10.1097/MAT.0000000000000495"
"15041616","Intrathecal sufentanil and fetal heart rate abnormalities: a double-blind, double placebo-controlled trial comparing two forms of combined spinal epidural analgesia with epidural analgesia in labor","Van de Velde M, Teunkens A, Hanssens M, Vandermeersch E, Verhaeghe J.","Anesth Analg. 2004 Apr;98(4):1153-9, table of contents. doi: 10.1213/01.ane.0000101980.34587.66.","Van de Velde M","Anesth Analg","2004","2004/03/26","","","10.1213/01.ane.0000101980.34587.66"
"23985411","Perioperative sildenafil therapy for pulmonary hypertension in infants undergoing congenital cardiac defect closure","El Midany AA, Mostafa EA, Azab S, Hassan GA.","Interact Cardiovasc Thorac Surg. 2013 Dec;17(6):963-8. doi: 10.1093/icvts/ivt353. Epub 2013 Aug 28.","El Midany AA","Interact Cardiovasc Thorac Surg","2013","2013/08/30","PMC3829489","","10.1093/icvts/ivt353"
"26168834","Goal-directed Fluid Therapy May Improve Hemodynamic Stability of Parturient with Hypertensive Disorders of Pregnancy Under Combined Spinal Epidural Anesthesia for Cesarean Delivery and the Well-being of Newborns","Xiao W, Duan QF, Fu WY, Chi XZ, Wang FY, Ma DQ, Wang TL, Zhao L.","Chin Med J (Engl). 2015 Jul 20;128(14):1922-31. doi: 10.4103/0366-6999.160546.","Xiao W","Chin Med J (Engl)","2015","2015/07/15","PMC4717919","","10.4103/0366-6999.160546"
"6764159","Calcium-channel blocking agents","Leonard RG, Talbert RL.","Clin Pharm. 1982 Jan-Feb;1(1):17-33.","Leonard RG","Clin Pharm","1982","1982/01/01","","",""
"19740297","Effect of captopril on pulmonary artery pressure following corrective surgery for tetralogy of fallot","Ma ZS, Ma SJ, Dong MF, Wang JT, Wang LX.","J Card Surg. 2009 Sep-Oct;24(5):553-7. doi: 10.1111/j.1540-8191.2009.00873.x.","Ma ZS","J Card Surg","2009","2009/09/11","","","10.1111/j.1540-8191.2009.00873.x"
"26121818","[Bupivacaine-induced Anaphylaxis in a Parturient Undergoing Cesarean Section]","Iwasaki M, Tachibana K, Mitsuda N, Kinouchi K.","Masui. 2015 Feb;64(2):200-4.","Iwasaki M","Masui","2015","2015/07/01","","",""
"8835086","Impact on blood pressure and intestinal perfusion of dobutamine or dopamine in hypotensive preterm infants","Hentschel R, Hensel D, Brune T, Rabe H, Jorch G.","Biol Neonate. 1995;68(5):318-24. doi: 10.1159/000244252.","Hentschel R","Biol Neonate","1995","1995/01/01","","","10.1159/000244252"
"9361646","Report of the Canadian Hypertension Society Consensus Conference: 3. Pharmacologic treatment of hypertensive disorders in pregnancy","Rey E, LeLorier J, Burgess E, Lange IR, Leduc L.","CMAJ. 1997 Nov 1;157(9):1245-54.","Rey E","CMAJ","1997","1997/11/15","PMC1228354","",""
"16452355","A double-blind, randomized, controlled study of a ""stress dose"" of hydrocortisone for rescue treatment of refractory hypotension in preterm infants","Ng PC, Lee CH, Bnur FL, Chan IH, Lee AW, Wong E, Chan HB, Lam CW, Lee BS, Fok TF.","Pediatrics. 2006 Feb;117(2):367-75. doi: 10.1542/peds.2005-0869.","Ng PC","Pediatrics","2006","2006/02/03","","","10.1542/peds.2005-0869"
"22046862","[Ephedrine vs. phenylephrine by intravenous bolus and continuous infusion to prevent hypotension secondary to spinal anesthesia during cesarean section: a randomized comparative trial]","Alday Muñoz E, Palacio Abizanda F, De Diego Pdel R, Gilsanz Rodríguez F.","Rev Esp Anestesiol Reanim. 2011 Aug-Sep;58(7):412-6. doi: 10.1016/s0034-9356(11)70104-9.","Alday Muñoz E","Rev Esp Anestesiol Reanim","2011","2011/11/04","","","10.1016/s0034-9356(11)70104-9"
"26049859","Reply: To PMID 25641242","Rios DR, Kaiser JR.","J Pediatr. 2015 Aug;167(2):499. doi: 10.1016/j.jpeds.2015.05.025. Epub 2015 Jun 3.","Rios DR","J Pediatr","2015","2015/06/08","","","10.1016/j.jpeds.2015.05.025"
"20094000","Anaphylaxis management in the pediatric emergency department: opportunities for improvement","Russell S, Monroe K, Losek JD.","Pediatr Emerg Care. 2010 Feb;26(2):71-6. doi: 10.1097/PEC.0b013e3181ce2e1c.","Russell S","Pediatr Emerg Care","2010","2010/01/23","","","10.1097/PEC.0b013e3181ce2e1c"
"21926888","Beneficial effects of terlipressin in pediatric cardiac arrest","Yilidzdaş D, Horoz OO, Erdem S.","Pediatr Emerg Care. 2011 Sep;27(9):865-8. doi: 10.1097/PEC.0b013e31822c286a.","Yilidzdaş D","Pediatr Emerg Care","2011","2011/09/20","","","10.1097/PEC.0b013e31822c286a"
"25806562","Prophylactic milrinone for the prevention of low cardiac output syndrome and mortality in children undergoing surgery for congenital heart disease","Burkhardt BE, Rücker G, Stiller B.","Cochrane Database Syst Rev. 2015 Mar 25;(3):CD009515. doi: 10.1002/14651858.CD009515.pub2.","Burkhardt BE","Cochrane Database Syst Rev","2015","2015/03/26","","","10.1002/14651858.CD009515.pub2"
"9773134","Epidural fentanyl, adrenaline and clonidine as adjuvants to local anaesthetics for surgical analgesia: meta-analyses of analgesia and side-effects","Curatolo M, Petersen-Felix S, Scaramozzino P, Zbinden AM.","Acta Anaesthesiol Scand. 1998 Sep;42(8):910-20. doi: 10.1111/j.1399-6576.1998.tb05349.x.","Curatolo M","Acta Anaesthesiol Scand","1998","1998/10/17","","","10.1111/j.1399-6576.1998.tb05349.x"
"241258","The effect of increased maternal PaO2 upon the fetus during labor","Morishima HO, Daniel SS, Richards RT, James LS.","Am J Obstet Gynecol. 1975 Oct 1;123(3):257-64. doi: 10.1016/0002-9378(75)90195-7.","Morishima HO","Am J Obstet Gynecol","1975","1975/10/01","","","10.1016/0002-9378(75)90195-7"
"22044425","B-type natriuretic peptide levels at birth predict cardiac dysfunction in neonates","Moriichi A, Cho K, Mizushima M, Furuse Y, Akimoto T, Yamada T, Minakami H.","Pediatr Int. 2012 Feb;54(1):89-93. doi: 10.1111/j.1442-200X.2011.03500.x. Epub 2011 Dec 22.","Moriichi A","Pediatr Int","2012","2011/11/03","","","10.1111/j.1442-200X.2011.03500.x"
"26183034","Goal-directed fluid therapy may improve hemodynamic stability in parturient women under combined spinal epidural anesthesia for cesarean section and newborn well-being","Xiao W, Duan Q, Zhao L, Chi X, Wang F, Ma D, Wang T.","J Obstet Gynaecol Res. 2015 Oct;41(10):1547-55. doi: 10.1111/jog.12769. Epub 2015 Jul 14.","Xiao W","J Obstet Gynaecol Res","2015","2015/07/18","","","10.1111/jog.12769"
"14980943","Prophylactic phenylephrine infusion for preventing hypotension during spinal anesthesia for cesarean delivery","Ngan Kee WD, Khaw KS, Ng FF, Lee BB.","Anesth Analg. 2004 Mar;98(3):815-21, table of contents. doi: 10.1213/01.ane.0000099782.78002.30.","Ngan Kee WD","Anesth Analg","2004","2004/02/26","","","10.1213/01.ane.0000099782.78002.30"
"16032383","Fludrocortisone in patients with familial dysautonomia--assessing effect on clinical parameters and gene expression","Axelrod FB, Goldberg JD, Rolnitzky L, Mull J, Mann SP, Gold von Simson G, Berlin D, Slaugenhaupt SA.","Clin Auton Res. 2005 Aug;15(4):284-91. doi: 10.1007/s10286-005-0288-1.","Axelrod FB","Clin Auton Res","2005","2005/07/21","","","10.1007/s10286-005-0288-1"
"29526678","Physiologic response to pre-arrest bolus dilute epinephrine in the pediatric intensive care unit","Ross CE, Asaro LA, Wypij D, Holland CC, Donnino MW, Kleinman ME.","Resuscitation. 2018 May;126:137-142. doi: 10.1016/j.resuscitation.2018.03.011. Epub 2018 Mar 8.","Ross CE","Resuscitation","2018","2018/03/13","PMC6441975","NIHMS1010689","10.1016/j.resuscitation.2018.03.011"
"27294851","Neonatal haemodynamic effects following foetal exposure to labetalol in hypertensive disorders of pregnancy","Thewissen L, Pistorius L, Baerts W, Naulaers G, Van Bel F, Lemmers P.","J Matern Fetal Neonatal Med. 2017 Jul;30(13):1533-1538. doi: 10.1080/14767058.2016.1193145. Epub 2016 Jun 13.","Thewissen L","J Matern Fetal Neonatal Med","2017","2016/06/14","","","10.1080/14767058.2016.1193145"
"15771688","Vasopressin in the treatment of vasodilatory shock in children","Masutani S, Senzaki H, Ishido H, Taketazu M, Matsunaga T, Kobayashi T, Sasaki N, Asano H, Kyo S, Yokote Y.","Pediatr Int. 2005 Apr;47(2):132-6. doi: 10.1111/j.1442-200x.2005.02043.x.","Masutani S","Pediatr Int","2005","2005/03/18","","","10.1111/j.1442-200x.2005.02043.x"
"25608697","Experience with levosimendan in 32 paediatric patients","Vilaboa Pedrosa C, Martínez Roca C, Yáñez Gómez P, Martín Herranz MI.","Pediatr Cardiol. 2015 Jun;36(5):1038-41. doi: 10.1007/s00246-015-1117-5. Epub 2015 Jan 22.","Vilaboa Pedrosa C","Pediatr Cardiol","2015","2015/01/23","","","10.1007/s00246-015-1117-5"
"16777820","Summary proceedings from the cardiology group on cardiovascular instability in preterm infants","Short BL, Van Meurs K, Evans JR; Cardiology Group.","Pediatrics. 2006 Mar;117(3 Pt 2):S34-9. doi: 10.1542/peds.2005-0620F.","Short BL","Pediatrics","2006","2006/06/17","","","10.1542/peds.2005-0620F"
"25440597","A systematic review on levosimendan in paediatric patients","Silvetti S, Silvani P, Azzolini ML, Dossi R, Landoni G, Zangrillo A.","Curr Vasc Pharmacol. 2015;13(1):128-33. doi: 10.2174/1570161112666141127163536.","Silvetti S","Curr Vasc Pharmacol","2015","2014/12/03","","","10.2174/1570161112666141127163536"
"12917901","Dopamine versus dobutamine for hypotensive preterm infants","Subhedar NV, Shaw NJ.","Cochrane Database Syst Rev. 2003;(3):CD001242. doi: 10.1002/14651858.CD001242.","Subhedar NV","Cochrane Database Syst Rev","2003","2003/08/15","","","10.1002/14651858.CD001242"
"18308023","Effect of preoperative use of propranolol on postoperative outcome in patients with tetralogy of Fallot","Graham EM, Bandisode VM, Bradley SM, Crawford FA Jr, Simsic JM, Atz AM.","Am J Cardiol. 2008 Mar 1;101(5):693-5. doi: 10.1016/j.amjcard.2007.10.033. Epub 2007 Dec 21.","Graham EM","Am J Cardiol","2008","2008/03/01","","","10.1016/j.amjcard.2007.10.033"
"18408577","Recovery of heart function in children with acute severe heart failure","O'Sullivan JJ, Roche SL, Crossland DS, Chaudhari MP, Kirk RC, Asif H.","Transplantation. 2008 Apr 15;85(7):975-9. doi: 10.1097/TP.0b013e318168fe3c.","O'Sullivan JJ","Transplantation","2008","2008/04/15","","","10.1097/TP.0b013e318168fe3c"
"15357561","Use of magnesium sulphate in severe persistent pulmonary hypertension of the newborn","Chandran S, Haqueb ME, Wickramasinghe HT, Wint Z.","J Trop Pediatr. 2004 Aug;50(4):219-23. doi: 10.1093/tropej/50.4.219.","Chandran S","J Trop Pediatr","2004","2004/09/11","","","10.1093/tropej/50.4.219"
"19379895","Is there an optimal timing for surgical ligation of patent ductus arteriosus in preterm infants?","Vida VL, Lago P, Salvatori S, Boccuzzo G, Padalino MA, Milanesi O, Speggiorin S, Stellin G.","Ann Thorac Surg. 2009 May;87(5):1509-15; discussion 1515-6. doi: 10.1016/j.athoracsur.2008.12.101.","Vida VL","Ann Thorac Surg","2009","2009/04/22","","","10.1016/j.athoracsur.2008.12.101"
"15001113","Treatment of hypotension in newborns","Subhedar NV.","Semin Neonatol. 2003 Dec;8(6):413-23. doi: 10.1016/S1084-2756(03)00117-9.","Subhedar NV","Semin Neonatol","2003","2004/03/06","","","10.1016/S1084-2756(03)00117-9"
"22568565","Noradrenaline use for septic shock in children: doses, routes of administration and complications","Lampin ME, Rousseaux J, Botte A, Sadik A, Cremer R, Leclerc F.","Acta Paediatr. 2012 Sep;101(9):e426-30. doi: 10.1111/j.1651-2227.2012.02725.x. Epub 2012 May 28.","Lampin ME","Acta Paediatr","2012","2012/05/10","","","10.1111/j.1651-2227.2012.02725.x"
"24277969","Effectiveness of anti scorpion venom for red scorpion envenomation","Pandurang KS, Singh J, Bijesh S, Singh HP.","Indian Pediatr. 2014 Feb;51(2):131-3. doi: 10.1007/s13312-014-0345-8. Epub 2013 Sep 5.","Pandurang KS","Indian Pediatr","2014","2013/11/27","","","10.1007/s13312-014-0345-8"
"18675433","Hypotension in preterm infants with significant patent ductus arteriosus: effects of dopamine","Bouissou A, Rakza T, Klosowski S, Tourneux P, Vanderborght M, Storme L.","J Pediatr. 2008 Dec;153(6):790-4. doi: 10.1016/j.jpeds.2008.06.014.","Bouissou A","J Pediatr","2008","2008/08/05","","","10.1016/j.jpeds.2008.06.014"
"25572061","Anticonvulsant effectiveness and hemodynamic safety of midazolam in full-term infants treated with hypothermia","van den Broek MP, van Straaten HL, Huitema AD, Egberts T, Toet MC, de Vries LS, Rademaker K, Groenendaal F.","Neonatology. 2015;107(2):150-6. doi: 10.1159/000368180. Epub 2015 Jan 8.","van den Broek MP","Neonatology","2015","2015/01/10","","","10.1159/000368180"
"24802558","Population pharmacokinetics and haemodynamic effects of norepinephrine in hypotensive critically ill children","Oualha M, Tréluyer JM, Lesage F, de Saint Blanquat L, Dupic L, Hubert P, Spreux-Varoquaux O, Urien S.","Br J Clin Pharmacol. 2014 Oct;78(4):886-97. doi: 10.1111/bcp.12412.","Oualha M","Br J Clin Pharmacol","2014","2014/05/08","PMC4239982","","10.1111/bcp.12412"
"23364374","Comparison of the incidence, etiology, and management of anaphylaxis over time","Fuzak JK, Trainor J.","Pediatr Emerg Care. 2013 Feb;29(2):131-5. doi: 10.1097/PEC.0b013e31828058cd.","Fuzak JK","Pediatr Emerg Care","2013","2013/02/01","","","10.1097/PEC.0b013e31828058cd"
"28954269","The Impact of Maternal Gestational Hypertension and the Use of Anti-Hypertensives on Neonatal Myocardial Performance","Breatnach CR, Monteith C, McSweeney L, Tully EC, Malone FD, Kent E, Doherty A, Franklin O, El-Khuffash A.","Neonatology. 2018;113(1):21-26. doi: 10.1159/000480396. Epub 2017 Sep 28.","Breatnach CR","Neonatology","2018","2017/09/28","","","10.1159/000480396"
"19052477","Early treated hypotension and outcome in very low birth weight infants","Kuint J, Barak M, Morag I, Maayan-Metzger A.","Neonatology. 2009;95(4):311-6. doi: 10.1159/000180113. Epub 2008 Dec 4.","Kuint J","Neonatology","2009","2008/12/05","","","10.1159/000180113"
"25645254","The Edwards Valeo lifestents in the treatment and palliation of congenital heart disease in infants and small children","Butera G, Giugno L, Basile D, Piazza L, Chessa M, Carminati M.","Catheter Cardiovasc Interv. 2015 Sep;86(3):432-7. doi: 10.1002/ccd.25872. Epub 2015 Feb 17.","Butera G","Catheter Cardiovasc Interv","2015","2015/02/04","","","10.1002/ccd.25872"
"18984965","Levels of catecholamines, arginine vasopressin and atrial natriuretic peptide in hypotensive extremely low birth weight infants in the first 24 hours after birth","Ezaki S, Suzuki K, Kurishima C, Miura M, Moriwaki K, Arakawa H, Kunikata T, Sobajima H, Tamura M.","Neonatology. 2009;95(3):248-55. doi: 10.1159/000166845. Epub 2008 Nov 4.","Ezaki S","Neonatology","2009","2008/11/06","","","10.1159/000166845"
"8135384","Clonidine in pediatric caudal anesthesia","Jamali S, Monin S, Begon C, Dubousset AM, Ecoffey C.","Anesth Analg. 1994 Apr;78(4):663-6. doi: 10.1213/00000539-199404000-00008.","Jamali S","Anesth Analg","1994","1994/04/01","","","10.1213/00000539-199404000-00008"
"19403504","Early systemic hypotension and vasopressor support in low birth weight infants: impact on neurodevelopment","Pellicer A, Bravo MC, Madero R, Salas S, Quero J, Cabañas F.","Pediatrics. 2009 May;123(5):1369-76. doi: 10.1542/peds.2008-0673.","Pellicer A","Pediatrics","2009","2009/05/01","","","10.1542/peds.2008-0673"
"9438889","Epidural block for obstetrics: comparison of bolus injection of local anesthetic with gravity flow technique","Cohen S, Amar D.","J Clin Anesth. 1997 Dec;9(8):623-8. doi: 10.1016/s0952-8180(97)00196-7.","Cohen S","J Clin Anesth","1997","1998/01/24","","","10.1016/s0952-8180(97)00196-7"
"7734262","Comparison of the haemodynamic effects of dopamine and dobutamine in young children undergoing cardiac surgery","Booker PD, Evans C, Franks R.","Br J Anaesth. 1995 Apr;74(4):419-23. doi: 10.1093/bja/74.4.419.","Booker PD","Br J Anaesth","1995","1995/04/01","","","10.1093/bja/74.4.419"
"12150169","Meningococcal infections in children from Arkansas","Stovall SH, Schutze GE.","Pediatr Infect Dis J. 2002 May;21(5):366-70. doi: 10.1097/00006454-200205000-00003.","Stovall SH","Pediatr Infect Dis J","2002","2002/08/02","","","10.1097/00006454-200205000-00003"
"29788801","Perioperative noninvasive cardiac output monitoring in parturients with singleton and twin pregnancies undergoing cesarean section under spinal anesthesia with prophylactic phenylephrine drip: a prospective observational cohort study","Orbach-Zinger S, Razinsky E, Bizman I, Firman S, Gat R, Davis A, Ashwal E, Shmueli A, Vaturi M, Gabbay-Benziv R, Eidelman LA.","J Matern Fetal Neonatal Med. 2019 Dec;32(23):3980-3985. doi: 10.1080/14767058.2018.1480604. Epub 2018 Jun 13.","Orbach-Zinger S","J Matern Fetal Neonatal Med","2019","2018/05/24","","","10.1080/14767058.2018.1480604"
"14602688","Hypotension in the very low birthweight infant: the old, the new, and the uncertain","Dasgupta SJ, Gill AB.","Arch Dis Child Fetal Neonatal Ed. 2003 Nov;88(6):F450-4. doi: 10.1136/fn.88.6.f450.","Dasgupta SJ","Arch Dis Child Fetal Neonatal Ed","2003","2003/11/07","PMC1763241","","10.1136/fn.88.6.f450"
"25899979","Resolution of refractory hypotension and anuria in a premature newborn with loss-of-function of ACE","Richer J, Daoud H, Geier P, Jarinova O, Carson N, Feberova J, Ben Fadel N, Unrau J, Bareke E, Khatchadourian K, Bulman DE, Majewski J, Boycott KM, Dyment DA.","Am J Med Genet A. 2015 Jul;167(7):1654-8. doi: 10.1002/ajmg.a.37067. Epub 2015 Apr 21.","Richer J","Am J Med Genet A","2015","2015/04/23","","","10.1002/ajmg.a.37067"
"17443200","Is refractory hypotension in preterm infants a manifestation of early ductal shunting?","Sarkar S, Dechert R, Schumacher RE, Donn SM.","J Perinatol. 2007 Jun;27(6):353-8. doi: 10.1038/sj.jp.7211749. Epub 2007 Apr 19.","Sarkar S","J Perinatol","2007","2007/04/20","","","10.1038/sj.jp.7211749"
"8251274","Clonidine combined with sufentanil and bupivacaine with adrenaline for obstetric analgesia","Le Polain B, De Kock M, Scholtes JL, Van Lierde M.","Br J Anaesth. 1993 Nov;71(5):657-60. doi: 10.1093/bja/71.5.657.","Le Polain B","Br J Anaesth","1993","1993/11/01","","","10.1093/bja/71.5.657"
"16131531","Morphine in ventilated neonates: its effects on arterial blood pressure","Simons SH, Roofthooft DW, van Dijk M, van Lingen RA, Duivenvoorden HJ, van den Anker JN, Tibboel D.","Arch Dis Child Fetal Neonatal Ed. 2006 Jan;91(1):F46-51. doi: 10.1136/adc.2004.069831. Epub 2005 Aug 30.","Simons SH","Arch Dis Child Fetal Neonatal Ed","2006","2005/09/01","PMC2672650","","10.1136/adc.2004.069831"
"1884740","Dopamine pharmacokinetics in critically ill newborn infants","Bhatt-Mehta V, Nahata MC, McClead RE, Menke JA.","Eur J Clin Pharmacol. 1991;40(6):593-7. doi: 10.1007/BF00279976.","Bhatt-Mehta V","Eur J Clin Pharmacol","1991","1991/01/01","","","10.1007/BF00279976"
"22965458","A randomised comparison of the effects of low-dose spinal or general anaesthesia on umbilical cord blood gases during caesarean delivery of growth-restricted foetuses with impaired Doppler flow","Jain K, Bhardwaj N, Sharma A, Kaur J, Kumar P.","Eur J Anaesthesiol. 2013 Jan;30(1):9-15. doi: 10.1097/EJA.0b013e3283564698.","Jain K","Eur J Anaesthesiol","2013","2012/09/12","","","10.1097/EJA.0b013e3283564698"
"7377595","Chloroprocaine vs. bupivacaine for lumbar epidural analgesia for elective cesarean section","James FM 3rd, Dewan DM, Floyd HM, Wheeler AS, Grant WM, Rhyne L, Westmoreland RT.","Anesthesiology. 1980 Jun;52(6):488-91. doi: 10.1097/00000542-198006000-00006.","James FM 3rd","Anesthesiology","1980","1980/06/01","","","10.1097/00000542-198006000-00006"
"11573527","Evaluation of pre-emptive intramuscular phenylephrine and ephedrine for reduction of spinal anaesthesia-induced hypotension during Caesarean section","Ayorinde BT, Buczkowski P, Brown J, Shah J, Buggy DJ.","Br J Anaesth. 2001 Mar;86(3):372-6. doi: 10.1093/bja/86.3.372.","Ayorinde BT","Br J Anaesth","2001","2001/09/28","","","10.1093/bja/86.3.372"
"9856709","Bupivacaine 0.01% and/or epinephrine 0.5 microg/ml improve epidural fentanyl analgesia after cesarean section","Cohen S, Lowenwirt I, Pantuck CB, Amar D, Pantuck EJ.","Anesthesiology. 1998 Dec;89(6):1354-61. doi: 10.1097/00000542-199812000-00012.","Cohen S","Anesthesiology","1998","1998/12/18","","","10.1097/00000542-199812000-00012"
"22710761","Judgment often impossible without randomized trials. Commentary on N. Patel: use of milrinone to treat cardiac dysfunction in infants with pulmonary hypertension secondary to congenital diaphragmatic hernia: a review of six patients (Neonatology 2012;102:130-136)","Giaccone A, Kirpalani H.","Neonatology. 2012;102(2):137-8. doi: 10.1159/000339112. Epub 2012 Jun 16.","Giaccone A","Neonatology","2012","2012/06/20","","","10.1159/000339112"
"11406028","Early volume expansion versus inotrope for prevention of morbidity and mortality in very preterm infants","Osborn DA, Evans N.","Cochrane Database Syst Rev. 2001;2001(2):CD002056. doi: 10.1002/14651858.CD002056.","Osborn DA","Cochrane Database Syst Rev","2001","2001/06/19","PMC7025800","","10.1002/14651858.CD002056"
"19649613","Dopamine therapy promotes cerebral flow-metabolism coupling in preterm infants","Wong FY, Barfield CP, Horne RS, Walker AM.","Intensive Care Med. 2009 Oct;35(10):1777-82. doi: 10.1007/s00134-009-1602-5. Epub 2009 Aug 1.","Wong FY","Intensive Care Med","2009","2009/08/04","","","10.1007/s00134-009-1602-5"
"22336574","Feasibility study of early blood pressure management in extremely preterm infants","Batton BJ, Li L, Newman NS, Das A, Watterberg KL, Yoder BA, Faix RG, Laughon MM, Van Meurs KP, Carlo WA, Higgins RD, Walsh MC; Eunice Kennedy Shriver National Institute of Child Health and Human Development Neonatal Research Network.","J Pediatr. 2012 Jul;161(1):65-9.e1. doi: 10.1016/j.jpeds.2012.01.014. Epub 2012 Feb 14.","Batton BJ","J Pediatr","2012","2012/02/17","PMC3357442","NIHMS349007","10.1016/j.jpeds.2012.01.014"
"22699033","Adrenal insufficiency and response to corticosteroids in hypotensive critically ill children with cancer","Hebbar KB, Petrillo T, Fortenberry JD.","J Crit Care. 2012 Oct;27(5):480-7. doi: 10.1016/j.jcrc.2012.03.013. Epub 2012 Jun 12.","Hebbar KB","J Crit Care","2012","2012/06/16","","","10.1016/j.jcrc.2012.03.013"
